road_id,vehicle_count,avg_speed,weather,record_date,record_time,day_of_week,congestion_level
9,250,14.9,rain,2026-05-17,19:00:00,Sunday,high
9,154,30.9,clear,2026-05-17,10:30:00,Sunday,medium
10,156,31.1,clear,2026-05-17,08:45:00,Sunday,medium
10,10,51.2,clear,2026-05-17,10:00:00,Sunday,low
10,190,49.2,fog,2026-05-17,03:00:00,Sunday,low
1,156,45.1,clear,2026-05-18,11:00:00,Monday,low
1,576,18.9,fog,2026-05-18,17:30:00,Monday,high
1,280,22.0,storm,2026-05-18,16:00:00,Monday,high
2,168,65.1,clear,2026-05-18,21:00:00,Monday,low
2,171,48.1,clear,2026-05-18,23:15:00,Monday,low
2,416,11.8,storm,2026-05-18,10:15:00,Monday,high
3,232,46.9,clear,2026-05-18,15:30:00,Monday,medium
3,328,22.7,clear,2026-05-18,08:00:00,Monday,high
3,258,16.7,storm,2026-05-18,08:15:00,Monday,high
4,581,25.7,clear,2026-05-18,17:00:00,Monday,high
4,60,91.6,clear,2026-05-18,04:00:00,Monday,low
4,35,152.4,clear,2026-05-18,04:00:00,Monday,low
5,57,59.5,clear,2026-05-18,01:30:00,Monday,low
5,179,12.6,fog,2026-05-18,11:45:00,Monday,high
5,189,38.2,clear,2026-05-18,07:15:00,Monday,medium
6,306,12.4,rain,2026-05-18,23:30:00,Monday,high
6,186,34.4,clear,2026-05-18,07:30:00,Monday,medium
6,88,163.8,clear,2026-05-18,01:45:00,Monday,low
7,194,57.4,clear,2026-05-18,11:30:00,Monday,low
7,283,16.4,clear,2026-05-18,12:30:00,Monday,high
7,250,13.9,storm,2026-05-18,08:30:00,Monday,high
8,598,30.6,clear,2026-05-18,17:30:00,Monday,high
8,91,120.2,clear,2026-05-18,05:30:00,Monday,low
8,173,22.2,rain,2026-05-18,23:30:00,Monday,high
9,241,43.5,clear,2026-05-18,12:15:00,Monday,medium
9,47,52.2,clear,2026-05-18,16:15:00,Monday,low
9,658,8.7,storm,2026-05-18,10:30:00,Monday,high
10,360,16.7,storm,2026-05-18,09:30:00,Monday,high
10,109,26.8,clear,2026-05-18,09:15:00,Monday,medium
10,124,34.8,fog,2026-05-18,21:15:00,Monday,medium
1,82,151.0,clear,2026-05-19,00:30:00,Tuesday,low
1,268,16.6,rain,2026-05-19,19:30:00,Tuesday,high
1,269,31.7,storm,2026-05-19,16:45:00,Tuesday,medium
2,221,21.8,clear,2026-05-19,16:30:00,Tuesday,high
2,191,33.6,clear,2026-05-19,21:30:00,Tuesday,medium
2,56,47.8,rain,2026-05-19,01:15:00,Tuesday,low
3,133,22.3,storm,2026-05-19,14:45:00,Tuesday,high
3,256,41.1,rain,2026-05-19,12:45:00,Tuesday,medium
3,112,109.4,rain,2026-05-19,00:00:00,Tuesday,low
4,54,30.5,clear,2026-05-19,22:45:00,Tuesday,medium
4,83,57.8,clear,2026-05-19,03:45:00,Tuesday,low
4,300,9.8,rain,2026-05-19,17:30:00,Tuesday,high
5,146,42.4,fog,2026-05-19,16:45:00,Tuesday,medium
5,181,17.0,clear,2026-05-19,15:45:00,Tuesday,high
5,516,18.9,storm,2026-05-19,08:45:00,Tuesday,high
6,172,50.4,clear,2026-05-19,22:30:00,Tuesday,low
6,428,24.8,clear,2026-05-19,17:00:00,Tuesday,high
6,53,113.7,clear,2026-05-19,04:15:00,Tuesday,low
7,196,52.1,clear,2026-05-19,14:45:00,Tuesday,low
7,350,20.4,fog,2026-05-19,18:00:00,Tuesday,high
7,377,11.7,rain,2026-05-19,11:30:00,Tuesday,high
8,269,37.6,rain,2026-05-19,13:15:00,Tuesday,medium
8,51,53.2,clear,2026-05-19,00:45:00,Tuesday,low
8,458,16.9,rain,2026-05-19,23:15:00,Tuesday,high
9,296,10.8,rain,2026-05-19,17:00:00,Tuesday,high
9,82,85.9,clear,2026-05-19,02:45:00,Tuesday,low
9,385,25.2,clear,2026-05-19,08:45:00,Tuesday,high
10,251,32.1,rain,2026-05-19,12:30:00,Tuesday,medium
10,73,111.2,clear,2026-05-19,00:00:00,Tuesday,low
10,436,18.8,clear,2026-05-19,20:00:00,Tuesday,high
1,97,131.8,clear,2026-05-20,00:15:00,Wednesday,low
1,414,7.3,rain,2026-05-20,18:15:00,Wednesday,high
1,83,96.8,clear,2026-05-20,05:00:00,Wednesday,low
2,45,32.2,fog,2026-05-20,00:30:00,Wednesday,medium
2,85,27.6,clear,2026-05-20,12:15:00,Wednesday,medium
2,275,12.0,storm,2026-05-20,07:00:00,Wednesday,high
3,382,14.6,fog,2026-05-20,19:00:00,Wednesday,high
3,125,39.6,clear,2026-05-20,13:30:00,Wednesday,medium
3,127,44.6,clear,2026-05-20,13:45:00,Wednesday,medium
4,297,37.9,rain,2026-05-20,14:15:00,Wednesday,medium
4,413,13.0,fog,2026-05-20,20:30:00,Wednesday,high
4,303,18.4,rain,2026-05-20,15:45:00,Wednesday,high
5,336,26.5,clear,2026-05-20,10:15:00,Wednesday,medium
5,295,44.2,clear,2026-05-20,14:45:00,Wednesday,medium
5,60,118.3,clear,2026-05-20,05:45:00,Wednesday,low
6,651,20.9,fog,2026-05-20,08:30:00,Wednesday,high
6,65,86.6,storm,2026-05-20,02:15:00,Wednesday,low
6,230,19.5,storm,2026-05-20,07:45:00,Wednesday,high
7,78,145.3,clear,2026-05-20,00:00:00,Wednesday,low
7,358,13.0,rain,2026-05-20,09:30:00,Wednesday,high
7,166,30.9,clear,2026-05-20,23:30:00,Wednesday,medium
8,341,14.9,clear,2026-05-20,08:15:00,Wednesday,high
8,194,53.5,clear,2026-05-20,23:15:00,Wednesday,low
8,204,31.3,clear,2026-05-20,23:30:00,Wednesday,medium
9,253,41.3,clear,2026-05-20,11:15:00,Wednesday,medium
9,184,16.9,clear,2026-05-20,08:00:00,Wednesday,high
9,93,71.9,clear,2026-05-20,04:45:00,Wednesday,low
10,134,47.3,rain,2026-05-20,15:45:00,Wednesday,low
10,413,14.5,clear,2026-05-20,08:45:00,Wednesday,high
10,90,131.1,clear,2026-05-20,02:00:00,Wednesday,low
1,510,26.9,clear,2026-05-21,09:00:00,Thursday,high
1,168,29.0,fog,2026-05-21,19:15:00,Thursday,medium
1,321,19.1,clear,2026-05-21,09:45:00,Thursday,high
2,146,33.3,clear,2026-05-21,23:00:00,Thursday,medium
2,76,110.5,clear,2026-05-21,02:15:00,Thursday,low
2,86,49.0,rain,2026-05-21,00:45:00,Thursday,low
3,62,55.0,clear,2026-05-21,01:15:00,Thursday,low
3,258,35.3,storm,2026-05-21,14:00:00,Thursday,medium
3,594,16.3,rain,2026-05-21,20:15:00,Thursday,high
4,85,107.8,clear,2026-05-21,04:30:00,Thursday,low
4,686,18.9,rain,2026-05-21,09:30:00,Thursday,high
4,109,40.0,clear,2026-05-21,22:45:00,Thursday,medium
5,96,42.4,rain,2026-05-21,02:00:00,Thursday,medium
5,116,86.5,clear,2026-05-21,00:00:00,Thursday,low
5,599,9.2,storm,2026-05-21,18:00:00,Thursday,high
6,41,45.6,fog,2026-05-21,05:45:00,Thursday,low
6,135,19.5,storm,2026-05-21,05:45:00,Thursday,high
6,189,39.6,rain,2026-05-21,15:30:00,Thursday,medium
7,91,54.9,rain,2026-05-21,05:30:00,Thursday,low
7,306,32.0,rain,2026-05-21,12:00:00,Thursday,medium
7,72,98.7,fog,2026-05-21,03:45:00,Thursday,low
8,695,16.0,rain,2026-05-21,17:45:00,Thursday,high
8,452,14.8,storm,2026-05-21,19:45:00,Thursday,high
8,188,23.5,clear,2026-05-21,08:15:00,Thursday,high
9,81,61.4,storm,2026-05-21,03:00:00,Thursday,low
9,96,102.6,fog,2026-05-21,05:30:00,Thursday,low
9,366,24.5,rain,2026-05-21,07:00:00,Thursday,high
10,87,103.8,storm,2026-05-21,04:45:00,Thursday,low
10,256,39.4,rain,2026-05-21,13:45:00,Thursday,medium
10,56,38.7,fog,2026-05-21,12:15:00,Thursday,medium
1,69,103.3,rain,2026-05-22,02:30:00,Friday,low
1,325,8.7,clear,2026-05-22,08:00:00,Friday,high
1,229,22.3,clear,2026-05-22,18:45:00,Friday,high
2,813,10.7,rain,2026-05-22,10:45:00,Friday,high
2,92,55.8,fog,2026-05-22,22:15:00,Friday,low
2,176,21.3,clear,2026-05-22,13:00:00,Friday,high
3,284,16.6,storm,2026-05-22,12:45:00,Friday,high
3,115,155.4,clear,2026-05-22,04:45:00,Friday,low
3,802,19.8,rain,2026-05-22,10:00:00,Friday,high
4,162,30.3,rain,2026-05-22,00:15:00,Friday,medium
4,52,139.1,clear,2026-05-22,02:45:00,Friday,low
4,502,10.5,clear,2026-05-22,20:00:00,Friday,high
5,224,14.4,storm,2026-05-22,12:30:00,Friday,high
5,514,23.5,fog,2026-05-22,17:00:00,Friday,high
5,896,20.7,storm,2026-05-22,09:15:00,Friday,high
6,575,17.4,rain,2026-05-22,20:00:00,Friday,high
6,77,76.0,clear,2026-05-22,00:00:00,Friday,low
6,182,52.4,clear,2026-05-22,11:45:00,Friday,low
7,217,54.7,clear,2026-05-22,21:15:00,Friday,medium
7,291,26.1,rain,2026-05-22,12:15:00,Friday,medium
7,251,29.7,rain,2026-05-22,14:30:00,Friday,medium
8,220,27.6,storm,2026-05-22,14:30:00,Friday,medium
8,376,25.5,storm,2026-05-22,11:30:00,Friday,high
8,297,39.9,clear,2026-05-22,14:30:00,Friday,medium
9,61,59.2,rain,2026-05-22,03:15:00,Friday,low
9,267,37.6,clear,2026-05-22,22:30:00,Friday,medium
9,497,12.2,fog,2026-05-22,08:00:00,Friday,high
10,74,78.6,clear,2026-05-22,01:45:00,Friday,low
10,275,34.6,storm,2026-05-22,11:15:00,Friday,medium
10,348,35.5,storm,2026-05-22,23:15:00,Friday,medium
1,330,30.3,rain,2026-05-23,01:30:00,Saturday,medium
1,151,51.0,clear,2026-05-23,04:00:00,Saturday,low
1,220,32.0,fog,2026-05-23,06:15:00,Saturday,medium
2,227,48.0,clear,2026-05-23,16:30:00,Saturday,medium
2,462,13.3,storm,2026-05-23,15:30:00,Saturday,high
2,235,24.2,clear,2026-05-23,14:00:00,Saturday,high
3,142,43.0,fog,2026-05-23,21:45:00,Saturday,medium
3,221,48.1,fog,2026-05-23,00:30:00,Saturday,medium
3,117,51.6,fog,2026-05-23,23:30:00,Saturday,low
4,330,23.5,storm,2026-05-23,11:00:00,Saturday,high
4,239,34.1,fog,2026-05-23,17:30:00,Saturday,medium
4,277,23.9,storm,2026-05-23,14:30:00,Saturday,high
5,297,32.8,rain,2026-05-23,01:30:00,Saturday,medium
5,171,24.8,rain,2026-05-23,17:15:00,Saturday,high
5,178,33.1,fog,2026-05-23,23:45:00,Saturday,medium
6,134,11.6,rain,2026-05-23,13:00:00,Saturday,high
6,189,35.3,storm,2026-05-23,08:00:00,Saturday,medium
6,237,38.6,clear,2026-05-23,07:30:00,Saturday,medium
7,193,34.3,clear,2026-05-23,20:30:00,Saturday,medium
7,135,25.3,clear,2026-05-23,03:45:00,Saturday,medium
7,247,24.1,clear,2026-05-23,19:00:00,Saturday,high
8,216,26.6,clear,2026-05-23,04:15:00,Saturday,medium
8,213,35.4,clear,2026-05-23,18:15:00,Saturday,medium
8,261,26.8,clear,2026-05-23,19:00:00,Saturday,medium
9,272,55.3,clear,2026-05-23,04:30:00,Saturday,medium
9,190,31.4,clear,2026-05-23,04:00:00,Saturday,medium
9,176,46.2,clear,2026-05-23,10:00:00,Saturday,low
10,437,24.8,storm,2026-05-23,13:00:00,Saturday,high
10,64,21.6,rain,2026-05-23,11:00:00,Saturday,high
10,238,26.9,rain,2026-05-23,01:30:00,Saturday,medium
1,278,14.9,rain,2026-05-24,15:45:00,Sunday,high
1,214,35.5,clear,2026-05-24,14:00:00,Sunday,medium
1,129,28.8,fog,2026-05-24,04:30:00,Sunday,medium
2,115,37.5,fog,2026-05-24,10:45:00,Sunday,medium
2,244,26.4,clear,2026-05-24,19:45:00,Sunday,medium
2,252,23.4,rain,2026-05-24,20:15:00,Sunday,high
3,219,30.5,rain,2026-05-24,10:45:00,Sunday,medium
3,319,38.3,storm,2026-05-24,13:30:00,Sunday,medium
3,261,32.9,clear,2026-05-24,21:45:00,Sunday,medium
4,313,10.0,storm,2026-05-24,13:00:00,Sunday,high
4,330,27.6,fog,2026-05-24,17:00:00,Sunday,medium
4,229,29.7,rain,2026-05-24,21:00:00,Sunday,medium
5,175,25.7,clear,2026-05-24,13:00:00,Sunday,medium
5,203,25.3,clear,2026-05-24,18:15:00,Sunday,medium
5,111,55.0,fog,2026-05-24,03:30:00,Sunday,low
6,494,7.2,rain,2026-05-24,18:15:00,Sunday,high
6,366,23.3,fog,2026-05-24,19:00:00,Sunday,high
6,165,60.1,clear,2026-05-24,08:00:00,Sunday,low
7,193,46.1,clear,2026-05-24,10:30:00,Sunday,low
7,303,40.9,clear,2026-05-24,21:45:00,Sunday,medium
7,171,27.0,storm,2026-05-24,00:00:00,Sunday,medium
8,148,41.5,clear,2026-05-24,14:30:00,Sunday,medium
8,307,43.6,clear,2026-05-24,18:00:00,Sunday,medium
8,120,44.4,clear,2026-05-24,01:00:00,Sunday,medium
9,301,32.9,rain,2026-05-24,19:45:00,Sunday,medium
9,349,36.9,rain,2026-05-24,03:30:00,Sunday,medium
9,222,28.3,fog,2026-05-24,18:45:00,Sunday,medium
10,287,52.1,clear,2026-05-24,12:00:00,Sunday,medium
10,176,41.3,clear,2026-05-24,04:30:00,Sunday,medium
10,230,50.7,clear,2026-05-24,23:45:00,Sunday,medium
1,101,51.9,clear,2026-05-25,07:30:00,Monday,low
1,399,20.5,rain,2026-05-25,13:00:00,Monday,high
1,218,24.8,fog,2026-05-25,18:45:00,Monday,high
2,651,14.8,rain,2026-05-25,09:00:00,Monday,high
2,567,13.4,storm,2026-05-25,19:45:00,Monday,high
2,66,57.6,rain,2026-05-25,03:15:00,Monday,low
3,211,35.1,storm,2026-05-25,12:30:00,Monday,medium
3,52,72.6,fog,2026-05-25,05:00:00,Monday,low
3,164,18.0,clear,2026-05-25,06:30:00,Monday,high
4,81,115.8,clear,2026-05-25,04:15:00,Monday,low
4,871,19.1,storm,2026-05-25,19:15:00,Monday,high
4,511,7.0,rain,2026-05-25,20:45:00,Monday,high
5,215,37.0,storm,2026-05-25,14:30:00,Monday,medium
5,230,35.1,storm,2026-05-25,15:45:00,Monday,medium
5,95,115.0,fog,2026-05-25,01:30:00,Monday,low
6,76,89.6,clear,2026-05-25,01:00:00,Monday,low
6,27,45.7,rain,2026-05-25,02:45:00,Monday,low
6,344,22.5,rain,2026-05-25,23:00:00,Monday,high
7,146,41.0,fog,2026-05-25,06:30:00,Monday,medium
7,89,47.0,clear,2026-05-25,01:45:00,Monday,low
7,169,37.3,fog,2026-05-25,22:00:00,Monday,medium
8,138,26.8,rain,2026-05-25,22:45:00,Monday,medium
8,101,53.5,clear,2026-05-25,11:30:00,Monday,low
8,233,26.0,storm,2026-05-25,21:00:00,Monday,medium
9,71,158.6,clear,2026-05-25,03:45:00,Monday,low
9,514,24.3,clear,2026-05-25,19:15:00,Monday,high
9,225,20.5,storm,2026-05-25,11:30:00,Monday,high
10,199,16.9,clear,2026-05-25,19:00:00,Monday,high
10,385,4.3,storm,2026-05-25,10:15:00,Monday,high
10,204,19.6,storm,2026-05-25,21:00:00,Monday,high
1,79,118.9,clear,2026-05-26,00:30:00,Tuesday,low
1,214,40.0,clear,2026-05-26,15:15:00,Tuesday,medium
1,389,8.7,fog,2026-05-26,09:00:00,Tuesday,high
2,177,41.1,storm,2026-05-26,16:00:00,Tuesday,medium
2,95,148.2,clear,2026-05-26,04:45:00,Tuesday,low
2,344,16.0,storm,2026-05-26,19:15:00,Tuesday,high
3,144,19.4,rain,2026-05-26,21:15:00,Tuesday,high
3,190,71.1,fog,2026-05-26,14:15:00,Tuesday,low
3,146,26.0,clear,2026-05-26,15:15:00,Tuesday,medium
4,192,26.0,clear,2026-05-26,14:45:00,Tuesday,medium
4,190,33.8,clear,2026-05-26,13:15:00,Tuesday,medium
4,343,14.8,storm,2026-05-26,08:00:00,Tuesday,high
5,84,108.9,clear,2026-05-26,03:00:00,Tuesday,low
5,406,38.8,rain,2026-05-26,14:15:00,Tuesday,high
5,128,46.1,clear,2026-05-26,14:30:00,Tuesday,low
6,333,28.3,rain,2026-05-26,11:15:00,Tuesday,medium
6,90,63.2,clear,2026-05-26,00:30:00,Tuesday,low
6,61,154.9,clear,2026-05-26,04:15:00,Tuesday,low
7,138,30.9,storm,2026-05-26,22:15:00,Tuesday,medium
7,74,116.7,clear,2026-05-26,02:00:00,Tuesday,low
7,187,31.3,clear,2026-05-26,23:45:00,Tuesday,medium
8,34,125.7,clear,2026-05-26,03:00:00,Tuesday,low
8,216,27.9,clear,2026-05-26,14:00:00,Tuesday,medium
8,379,14.0,storm,2026-05-26,17:00:00,Tuesday,high
9,132,71.6,rain,2026-05-26,04:30:00,Tuesday,low
9,333,17.8,clear,2026-05-26,18:45:00,Tuesday,high
9,78,34.2,fog,2026-05-26,11:00:00,Tuesday,medium
10,269,26.7,rain,2026-05-26,16:00:00,Tuesday,medium
10,179,28.7,clear,2026-05-26,12:30:00,Tuesday,medium
10,68,58.0,clear,2026-05-26,02:30:00,Tuesday,low
1,504,22.1,clear,2026-05-27,18:30:00,Wednesday,high
1,251,15.7,storm,2026-05-27,20:15:00,Wednesday,high
1,551,24.0,clear,2026-05-27,20:15:00,Wednesday,high
2,211,60.3,clear,2026-05-27,14:00:00,Wednesday,medium
2,10,91.3,clear,2026-05-27,01:30:00,Wednesday,low
2,528,22.0,clear,2026-05-27,17:45:00,Wednesday,high
3,431,16.0,clear,2026-05-27,09:30:00,Wednesday,high
3,143,48.8,rain,2026-05-27,03:30:00,Wednesday,low
3,109,40.3,clear,2026-05-27,12:30:00,Wednesday,medium
4,176,35.2,clear,2026-05-27,16:30:00,Wednesday,medium
4,344,22.7,fog,2026-05-27,19:15:00,Wednesday,high
4,180,23.2,clear,2026-05-27,10:30:00,Wednesday,high
5,35,115.8,clear,2026-05-27,05:45:00,Wednesday,low
5,112,23.7,clear,2026-05-27,11:45:00,Wednesday,high
5,80,55.9,storm,2026-05-27,01:00:00,Wednesday,low
6,231,52.8,clear,2026-05-27,23:15:00,Wednesday,medium
6,275,48.5,clear,2026-05-27,14:00:00,Wednesday,medium
6,272,27.9,rain,2026-05-27,11:30:00,Wednesday,medium
7,43,136.7,clear,2026-05-27,04:45:00,Wednesday,low
7,290,23.9,fog,2026-05-27,18:15:00,Wednesday,high
7,435,20.6,clear,2026-05-27,08:15:00,Wednesday,high
8,256,54.0,fog,2026-05-27,16:45:00,Wednesday,medium
8,229,39.8,clear,2026-05-27,22:45:00,Wednesday,medium
8,195,43.5,clear,2026-05-27,15:15:00,Wednesday,medium
9,95,27.1,clear,2026-05-27,05:45:00,Wednesday,medium
9,696,16.4,storm,2026-05-27,10:30:00,Wednesday,high
9,438,7.8,storm,2026-05-27,09:15:00,Wednesday,high
10,83,185.9,fog,2026-05-27,05:30:00,Wednesday,low
10,142,75.9,rain,2026-05-27,04:15:00,Wednesday,low
10,265,58.1,fog,2026-05-27,11:45:00,Wednesday,medium
1,154,71.3,rain,2026-05-28,02:30:00,Thursday,low
1,266,25.6,rain,2026-05-28,16:45:00,Thursday,medium
1,305,15.4,rain,2026-05-28,10:00:00,Thursday,high
2,23,127.1,clear,2026-05-28,04:15:00,Thursday,low
2,80,114.8,fog,2026-05-28,01:00:00,Thursday,low
2,497,17.6,clear,2026-05-28,10:15:00,Thursday,high
3,459,34.2,clear,2026-05-28,09:00:00,Thursday,high
3,436,19.3,storm,2026-05-28,08:15:00,Thursday,high
3,212,37.5,fog,2026-05-28,16:15:00,Thursday,medium
4,295,46.1,fog,2026-05-28,21:30:00,Thursday,medium
4,104,54.8,storm,2026-05-28,02:00:00,Thursday,low
4,134,29.2,fog,2026-05-28,06:45:00,Thursday,medium
5,689,13.0,storm,2026-05-28,20:30:00,Thursday,high
5,92,45.3,clear,2026-05-28,21:45:00,Thursday,low
5,78,72.9,rain,2026-05-28,05:45:00,Thursday,low
6,427,16.0,clear,2026-05-28,19:15:00,Thursday,high
6,184,25.6,clear,2026-05-28,11:45:00,Thursday,medium
6,53,104.9,clear,2026-05-28,03:30:00,Thursday,low
7,317,49.0,clear,2026-05-28,07:15:00,Thursday,medium
7,611,17.0,clear,2026-05-28,19:45:00,Thursday,high
7,371,13.0,clear,2026-05-28,10:30:00,Thursday,high
8,323,21.6,rain,2026-05-28,16:45:00,Thursday,high
8,54,105.9,fog,2026-05-28,02:45:00,Thursday,low
8,493,22.2,clear,2026-05-28,18:30:00,Thursday,high
9,133,17.3,clear,2026-05-28,20:45:00,Thursday,high
9,165,19.8,clear,2026-05-28,13:15:00,Thursday,high
9,354,32.1,rain,2026-05-28,11:00:00,Thursday,high
10,130,48.6,clear,2026-05-28,11:30:00,Thursday,low
10,334,17.3,fog,2026-05-28,17:30:00,Thursday,high
10,78,73.8,clear,2026-05-28,03:45:00,Thursday,low
1,131,32.7,clear,2026-05-29,11:15:00,Friday,medium
1,86,120.5,clear,2026-05-29,01:00:00,Friday,low
1,123,31.1,clear,2026-05-29,15:45:00,Friday,medium
2,230,25.2,clear,2026-05-29,10:30:00,Friday,medium
2,429,13.5,fog,2026-05-29,09:30:00,Friday,high
2,284,21.0,rain,2026-05-29,22:30:00,Friday,high
3,122,20.9,rain,2026-05-29,21:00:00,Friday,high
3,25,45.0,fog,2026-05-29,23:00:00,Friday,medium
3,686,15.8,storm,2026-05-29,18:15:00,Friday,high
4,199,32.0,clear,2026-05-29,16:45:00,Friday,medium
4,463,20.6,clear,2026-05-29,18:00:00,Friday,high
4,112,95.7,storm,2026-05-29,04:45:00,Friday,low
5,466,7.6,storm,2026-05-29,19:45:00,Friday,high
5,139,55.8,fog,2026-05-29,16:15:00,Friday,low
5,244,36.4,clear,2026-05-29,16:45:00,Friday,medium
6,234,28.2,fog,2026-05-29,17:30:00,Friday,medium
6,30,43.0,fog,2026-05-29,23:30:00,Friday,medium
6,677,13.9,clear,2026-05-29,08:30:00,Friday,high
7,463,10.7,storm,2026-05-29,09:15:00,Friday,high
7,244,52.5,clear,2026-05-29,11:30:00,Friday,medium
7,284,33.9,clear,2026-05-29,12:45:00,Friday,medium
8,406,19.3,clear,2026-05-29,09:00:00,Friday,high
8,196,29.3,storm,2026-05-29,14:30:00,Friday,medium
8,338,16.9,fog,2026-05-29,17:30:00,Friday,high
9,607,24.1,clear,2026-05-29,19:15:00,Friday,high
9,223,46.3,clear,2026-05-29,07:15:00,Friday,medium
9,253,27.7,storm,2026-05-29,15:00:00,Friday,medium
10,305,7.0,rain,2026-05-29,17:15:00,Friday,high
10,319,49.6,storm,2026-05-29,15:45:00,Friday,medium
10,771,16.9,storm,2026-05-29,10:30:00,Friday,high
1,223,12.8,fog,2026-05-30,20:15:00,Saturday,high
1,290,25.0,rain,2026-05-30,01:15:00,Saturday,high
1,306,41.7,rain,2026-05-30,01:45:00,Saturday,medium
2,155,55.6,clear,2026-05-30,09:00:00,Saturday,low
2,356,27.8,rain,2026-05-30,10:30:00,Saturday,high
2,183,32.0,fog,2026-05-30,15:15:00,Saturday,medium
3,169,22.8,clear,2026-05-30,03:30:00,Saturday,high
3,171,18.8,clear,2026-05-30,22:15:00,Saturday,high
3,148,22.3,clear,2026-05-30,18:15:00,Saturday,high
4,196,39.0,fog,2026-05-30,12:45:00,Saturday,medium
4,40,44.0,clear,2026-05-30,03:15:00,Saturday,medium
4,264,42.9,rain,2026-05-30,00:30:00,Saturday,medium
5,178,38.2,fog,2026-05-30,10:30:00,Saturday,medium
5,341,31.7,storm,2026-05-30,20:30:00,Saturday,medium
5,157,36.9,clear,2026-05-30,14:30:00,Saturday,medium
6,390,41.4,storm,2026-05-30,22:30:00,Saturday,high
6,207,69.6,fog,2026-05-30,09:30:00,Saturday,medium
6,325,13.0,rain,2026-05-30,15:15:00,Saturday,high
7,280,14.4,fog,2026-05-30,13:45:00,Saturday,high
7,91,46.1,fog,2026-05-30,07:00:00,Saturday,low
7,241,17.2,clear,2026-05-30,02:00:00,Saturday,high
8,145,52.8,clear,2026-05-30,06:15:00,Saturday,low
8,220,26.7,storm,2026-05-30,03:15:00,Saturday,medium
